Zip,Zip,NAICSIndustry,PctLoanMin
93653.0,93653.0,All Other Telecommunications ,31.90886435102977
93653.0,93653.0,All Other Animal Production ,21.94410539813131
93653.0,93653.0,Environmental Consulting Services,20.30719375221665
93653.0,93653.0,Electrical Contractors and Other Wiring Installation Contractors,15.010123942679625
93653.0,93653.0,All Other General Merchandise Stores ,7.686367728642751
93653.0,93653.0,Other Accounting Services ,3.1433448272998907
93657.0,93657.0,Limited-Service Restaurants ,6.159313333494219
93657.0,93657.0,UNKNOWN,3.134179892003214
93657.0,93657.0,Soybean and Other Oilseed Processing ,2.565004234850747
93657.0,93657.0,Painting and Wall Covering Contractors,2.4818888445814578
93657.0,93657.0,Gasoline Stations with Convenience Stores ,2.4413570151432613
93657.0,93657.0,Offices of Optometrists,2.3670101939339268
93657.0,93657.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,2.252615380517353
93657.0,93657.0,Wineries ,2.222251325104312
93657.0,93657.0,Residential Remodelers ,2.1881865687085447
93657.0,93657.0,Offices of Dentists ,2.1779327501163706
93662.0,93662.0,Offices of Dentists ,100.0
93664.0,93664.0,Marinas,12.805648832466051
93664.0,93664.0,Sporting Goods Stores ,10.96380683536647
93664.0,93664.0,Full-Service Restaurants ,10.56218834094628
93664.0,93664.0,Hotels (except Casino Hotels) and Motels ,10.379555166075985
93664.0,93664.0,Limited-Service Restaurants ,9.916865068594074
93664.0,93664.0,Residential Remodelers ,9.087551474636866
93664.0,93664.0,Gasoline Stations with Convenience Stores ,7.278377938222681
93664.0,93664.0,Snack and Nonalcoholic Beverage Bars ,5.661240664769246
93664.0,93664.0,Commercial and Institutional Building Construction ,5.292872265349329
93664.0,93664.0,Supermarkets and Other Grocery (except Convenience) Stores ,3.325009500027143
93665.0,93665.0,Rice Milling ,100.0
93667.0,93667.0,"General Freight Trucking, Local ",18.754802868099155
93667.0,93667.0,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,18.605054865522995
93667.0,93667.0,All Other Support Services,18.398790399164646
93667.0,93667.0,Power and Communication Line and Related Structures Construction ,15.016053150887737
93667.0,93667.0,Paper (except Newsprint) Mills ,10.158524968148642
93667.0,93667.0,Religious Organizations ,6.703595156646312
93667.0,93667.0,"All Other Professional, Scientific, and Technical Services",4.458200175869335
93667.0,93667.0,UNKNOWN,4.125289327166961
93667.0,93667.0,Paint and Wallpaper Stores ,3.7796890884942216
93675.0,93675.0,Convenience Stores ,22.651425389830624
93675.0,93675.0,Full-Service Restaurants ,19.337907527049644
93675.0,93675.0,Engineering Services,11.325712694915312
93675.0,93675.0,Nature Parks and Other Similar Institutions,11.290404717688958
93675.0,93675.0,General Automotive Repair ,8.908202654209289
93675.0,93675.0,New Single-Family Housing Construction (except For-Sale Builders) ,6.138156040889354
93675.0,93675.0,Residential Property Managers ,4.590037039426109
93675.0,93675.0,Painting and Wall Covering Contractors,3.922716269848006
93675.0,93675.0,Beef Cattle Ranching and Farming ,3.3284558531459747
93675.0,93675.0,Finfish Fishing ,3.069078020444677
93701.0,93701.0,"Dry, Condensed, and Evaporated Dairy Product Manufacturing ",33.01716208973411
93701.0,93701.0,Tortilla Manufacturing,13.206864835893644
93701.0,93701.0,Nonresidential Property Managers ,6.8464387309272645
93701.0,93701.0,Dairy Cattle and Milk Production,6.603432417946822
93701.0,93701.0,"Plumbing, Heating, and Air-Conditioning Contractors ",6.603432417946822
93701.0,93701.0,Child and Youth Services ,2.3112013462813876
93701.0,93701.0,Community Food Services ,2.3112013462813876
93701.0,93701.0,Gasoline Stations with Convenience Stores ,2.3112013462813876
93701.0,93701.0,Home Health Care Services,2.3112013462813876
93701.0,93701.0,Other Building Equipment Contractors ,2.3112013462813876
93702.0,93702.0,Full-Service Restaurants ,11.477586344613117
93702.0,93702.0,Dried and Dehydrated Food Manufacturing ,5.34213534893952
93702.0,93702.0,Drywall and Insulation Contractors ,5.34213534893952
93702.0,93702.0,Electrical Contractors and Other Wiring Installation Contractors,5.34213534893952
93702.0,93702.0,"Promoters of Performing Arts, Sports, and Similar Events without Facilities ",5.34213534893952
93702.0,93702.0,All Other Miscellaneous Store Retailers (except Tobacco Stores) ,4.484707362190873
93702.0,93702.0,Other Social Advocacy Organizations ,3.4954507382742523
93702.0,93702.0,UNKNOWN,3.0078664133546154
93702.0,93702.0,Used Car Dealers ,2.6603376140403183
93702.0,93702.0,Supermarkets and Other Grocery (except Convenience) Stores ,2.641518034368197
93703.0,93703.0,Commercial and Institutional Building Construction ,24.495500023576206
93703.0,93703.0,Religious Organizations ,9.973019371192295
93703.0,93703.0,Electrical Contractors and Other Wiring Installation Contractors,4.932534059626561
93703.0,93703.0,"Plumbing, Heating, and Air-Conditioning Contractors ",3.8804249214608477
93703.0,93703.0,Painting and Wall Covering Contractors,3.7280528236418573
93703.0,93703.0,Offices of Physicians (except Mental Health Specialists) ,3.227182347868826
93703.0,93703.0,Masonry Contractors ,3.07016114888153
93703.0,93703.0,"Automotive Body, Paint, and Interior Repair and Maintenance ",2.6142531392744237
93703.0,93703.0,UNKNOWN,2.2444244220035237
93703.0,93703.0,General Automotive Repair ,1.7417989105394567
93704.0,93704.0,Offices of Lawyers,10.746391731992986
93704.0,93704.0,Full-Service Restaurants ,9.401590061006802
93704.0,93704.0,New Car Dealers ,8.9533403650481
93704.0,93704.0,Other Management Consulting Services ,7.105825686546111
93704.0,93704.0,Other Gasoline Stations ,5.684660549236889
93704.0,93704.0,UNKNOWN,4.377683927386059
93704.0,93704.0,Other Noncitrus Fruit Farming ,3.2473481271001994
93704.0,93704.0,Offices of Dentists ,3.2358157415138704
93704.0,93704.0,Residential Property Managers ,2.8423302746184445
93704.0,93704.0,Home Health Care Services,1.989631192232911
93705.0,93705.0,All Other Miscellaneous Crop Farming ,48.13129166485118
93705.0,93705.0,Elementary and Secondary Schools ,9.705481443580279
93705.0,93705.0,Security Guards and Patrol Services ,8.439549081374157
93705.0,93705.0,Residential Property Managers ,4.114280177169901
93705.0,93705.0,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers ,2.9538421784809548
93705.0,93705.0,"General Freight Trucking, Local ",2.370458348230966
